Player ID,Role,Playstyle,Pain Points,Goals,Quotes,Preferred Games,Wishes Others Understood,Weapons
Healer_02,Healer,Team coordination,Needs safe zones; Hates unpredictable damage,Manage resources efficiently; Keep team alive,"DPS, stop pulling extra mobs!",WoW; Guild Wars 2,Stay grouped so I can AoE heal.,Scepter; Staff
Healer_03,Healer,Support-focused,Hates unpredictable damage; Relies on team coordination,Support DPS; Keep team alive,"DPS, stop pulling extra mobs!",FFXIV; WoW,Stay grouped so I can AoE heal.,Scepter; Staff
Healer_04,Healer,Team coordination,Mana management is tough; Needs safe zones,Support DPS; Manage resources efficiently,I can’t heal if the tank won’t hold aggro.,FFXIV; Guild Wars 2,"DPS, don’t pull extra mobs—I can’t heal through that!",Scepter; Staff
Healer_05,Healer,Team coordination,Needs safe zones; Relies on team coordination,Manage resources efficiently; Keep team alive,I can’t heal if the tank won’t hold aggro.,WoW; Guild Wars 2,Stay grouped so I can AoE heal.,Wand; Scepter
Healer_06,Healer,Resource management,Hates unpredictable damage; Relies on team coordination,Manage resources efficiently; Support DPS,I can’t heal if the tank won’t hold aggro.,FFXIV; Guild Wars 2,"Tanks, use your cooldowns proactively.",Scepter; Staff
Healer_07,Healer,Support-focused,Needs safe zones; Hates unpredictable damage,Keep team alive; Support DPS,I need time to regenerate mana.,WoW; Guild Wars 2,"Tanks, use your cooldowns proactively.",Wand; Scepter
Healer_08,Healer,Resource management,Needs safe zones; Mana management is tough,Keep team alive; Manage resources efficiently,I need time to regenerate mana.,Guild Wars 2; WoW,"DPS, don’t pull extra mobs—I can’t heal through that!",Scepter; Wand
Healer_09,Healer,Team coordination,Hates unpredictable damage; Mana management is tough,Keep team alive; Support DPS,Why is everyone standing in the fire?,Guild Wars 2; WoW,Stay grouped so I can AoE heal.,Staff; Scepter
Healer_10,Healer,Resource management,Mana management is tough; Needs safe zones,Support DPS; Keep team alive,I can’t heal if the tank won’t hold aggro.,WoW; FFXIV,"DPS, don’t pull extra mobs—I can’t heal through that!",Staff; Scepter
Hybrid_01,Hybrid,Jack of all trades,Needs flexibility; Gear is expensive,Adapt to team needs; Deal damage when possible,I need to switch roles often.,FFXIV; Guild Wars 2,"I can adapt, but I need clear communication.",Shield; Mace
Hybrid_02,Hybrid,Versatile,Needs flexibility; Hard to specialize,Deal damage when possible; Support when needed,I need to switch roles often.,Guild Wars 2; WoW,"I can adapt, but I need clear communication.",Shield; Mace
Hybrid_03,Hybrid,Jack of all trades,Hates rigid roles; Gear is expensive,Deal damage when possible; Adapt to team needs,I need to switch roles often.,FFXIV; Guild Wars 2,"I can adapt, but I need clear communication.",Shield; Sword
Hybrid_04,Hybrid,Adaptable,Hates rigid roles; Hard to specialize,Adapt to team needs; Support when needed,I need to switch roles often.,FFXIV; WoW,"Tanks, let me know when you need extra aggro!",Shield; Mace
Hybrid_05,Hybrid,Adaptable,Hates rigid roles; Needs flexibility,Support when needed; Adapt to team needs,I need to switch roles often.,Guild Wars 2; WoW,"Tanks, let me know when you need extra aggro!",Mace; Shield
Hybrid_06,Hybrid,Jack of all trades,Gear is expensive; Needs flexibility,Support when needed; Adapt to team needs,I need to switch roles often.,Guild Wars 2; FFXIV,"I can adapt, but I need clear communication.",Sword; Shield
Hybrid_07,Hybrid,Adaptable,Hard to specialize; Gear is expensive,Adapt to team needs; Support when needed,"I can fill gaps, but don’t expect me to do everything.",WoW; Guild Wars 2,"DPS, I can help with damage, but don’t rely on me for healing.",Shield; Sword
Hybrid_08,Hybrid,Jack of all trades,Hates rigid roles; Gear is expensive,Support when needed; Adapt to team needs,I need to switch roles often.,WoW; Guild Wars 2,"DPS, I can help with damage, but don’t rely on me for healing.",Shield; Mace
Hybrid_09,Hybrid,Jack of all trades,Gear is expensive; Hates rigid roles,Support when needed; Deal damage when possible,I need to switch roles often.,Guild Wars 2; FFXIV,"I can adapt, but I need clear communication.",Mace; Shield
Hybrid_10,Hybrid,Versatile,Needs flexibility; Gear is expensive,Deal damage when possible; Support when needed,"I can fill gaps, but don’t expect me to do everything.",WoW; FFXIV,"DPS, I can help with damage, but don’t rely on me for healing.",Shield; Sword
Physical_Melee_01,Physical Melee,High burst damage,Struggles with mobility; Aggro management is tough,Avoid pulling aggro; Stay mobile,"If I can’t move, I can’t deal damage.",FFXIV; Guild Wars 2,"If I can’t reach the boss, I can’t do my job.",Dual Daggers; Axe
Physical_Melee_02,Physical Melee,Mobility-dependent,Struggles with mobility; Hates fights with excessive movement,Stay mobile; Avoid pulling aggro,I need to stay behind the boss.,WoW; Guild Wars 2,Don’t pull mobs—I need to stay mobile to deal damage!,Longsword; Axe
Physical_Melee_03,Physical Melee,High burst damage,Needs good positioning; Aggro management is tough,Stay mobile; Avoid pulling aggro,I can’t attack if I’m kited.,WoW; Guild Wars 2,"If I can’t reach the boss, I can’t do my job.",Dual Daggers; Longsword
Physical_Melee_04,Physical Melee,Mobility-dependent,Hates fights with excessive movement; Aggro management is tough,Avoid pulling aggro; Maximize DPS uptime,I can’t attack if I’m kited.,FFXIV; WoW,Don’t pull mobs—I need to stay mobile to deal damage!,Dual Daggers; Axe
Physical_Melee_05,Physical Melee,High burst damage,Struggles with mobility; Aggro management is tough,Stay mobile; Maximize DPS uptime,"If I can’t move, I can’t deal damage.",Guild Wars 2; WoW,Don’t pull mobs—I need to stay mobile to deal damage!,Longsword; Axe
Physical_Melee_06,Physical Melee,Melee range,Aggro management is tough; Struggles with mobility,Stay mobile; Maximize DPS uptime,I need to stay behind the boss.,FFXIV; WoW,"Tanks, keep the boss still so I can attack.",Longsword; Axe
Physical_Melee_07,Physical Melee,Melee range,Struggles with mobility; Aggro management is tough,Maximize DPS uptime; Stay mobile,Why is the tank not holding aggro?,FFXIV; WoW,"Tanks, keep the boss still so I can attack.",Dual Daggers; Longsword
Physical_Melee_08,Physical Melee,Mobility-dependent,Struggles with mobility; Needs good positioning,Avoid pulling aggro; Stay mobile,I need to stay behind the boss.,WoW; FFXIV,"Tanks, keep the boss still so I can attack.",Dual Daggers; Axe
Physical_Melee_09,Physical Melee,Mobility-dependent,Needs good positioning; Hates fights with excessive movement,Avoid pulling aggro; Maximize DPS uptime,I can’t attack if I’m kited.,Guild Wars 2; WoW,"Tanks, keep the boss still so I can attack.",Longsword; Axe
Physical_Melee_10,Physical Melee,High burst damage,Hates fights with excessive movement; Needs good positioning,Stay mobile; Avoid pulling aggro,I can’t attack if I’m kited.,Guild Wars 2; FFXIV,Don’t pull mobs—I need to stay mobile to deal damage!,Longsword; Axe
Magical_Melee_01,Magical Melee,High spell damage,Relies on mana management; Hard to position,Stay in melee range; Maximize spell DPS,I need to be close to deal damage.,WoW; FFXIV,I need time to regenerate mana.,Mace; Spellblade
Magical_Melee_02,Magical Melee,High spell damage,Hates interruptions; Hard to position,Avoid interruptions; Maximize spell DPS,I need to be close to deal damage.,WoW; Guild Wars 2,I need time to regenerate mana.,Spellblade; Staff
Magical_Melee_03,Magical Melee,High spell damage,Relies on mana management; Hard to position,Maximize spell DPS; Stay in melee range,Why is the tank moving the boss away?,FFXIV; Guild Wars 2,"Tanks, keep enemies close so I can hit them!",Mace; Staff
Magical_Melee_04,Magical Melee,Close range,Hard to position; Relies on mana management,Maximize spell DPS; Stay in melee range,I need to be close to deal damage.,WoW; FFXIV,Don’t kite me—I need to be in melee range.,Mace; Spellblade
Magical_Melee_05,Magical Melee,High spell damage,Needs close range; Hates interruptions,Maximize spell DPS; Avoid interruptions,Why is the tank moving the boss away?,WoW; FFXIV,Don’t kite me—I need to be in melee range.,Staff; Spellblade
Magical_Melee_06,Magical Melee,Mana-dependent,Hard to position; Needs close range,Avoid interruptions; Stay in melee range,Why is the tank moving the boss away?,WoW; FFXIV,"Tanks, keep enemies close so I can hit them!",Mace; Staff
Magical_Melee_07,Magical Melee,High spell damage,Relies on mana management; Needs close range,Stay in melee range; Maximize spell DPS,I can’t cast if I’m kited.,FFXIV; Guild Wars 2,Don’t kite me—I need to be in melee range.,Staff; Mace
Magical_Melee_08,Magical Melee,High spell damage,Hard to position; Relies on mana management,Maximize spell DPS; Stay in melee range,I can’t cast if I’m kited.,FFXIV; WoW,Don’t kite me—I need to be in melee range.,Spellblade; Mace
Magical_Melee_09,Magical Melee,High spell damage,Relies on mana management; Needs close range,Maximize spell DPS; Avoid interruptions,I need to be close to deal damage.,Guild Wars 2; WoW,Don’t kite me—I need to be in melee range.,Staff; Mace
Magical_Melee_10,Magical Melee,Mana-dependent,Needs close range; Relies on mana management,Maximize spell DPS; Avoid interruptions,Why is the tank moving the boss away?,FFXIV; WoW,"Tanks, keep enemies close so I can hit them!",Staff; Spellblade
Physical_Ranged_01,Physical Ranged,High mobility,Relies on positioning; Needs clear line of sight,Avoid melee range; Maximize DPS,I need to stay at range.,FFXIV; WoW,"Tanks, don’t drag mobs into my line of sight!",Crossbow; Bow
Physical_Ranged_02,Physical Ranged,Ranged damage,Hard to avoid aggro; Relies on positioning,Stay safe; Avoid melee range,I can’t do damage if I’m stuck in melee.,WoW; Guild Wars 2,"Tanks, don’t drag mobs into my line of sight!",Gun; Crossbow
Physical_Ranged_03,Physical Ranged,Positioning-focused,Relies on positioning; Needs clear line of sight,Avoid melee range; Stay safe,Why is the tank dragging mobs into my line of sight?,WoW; FFXIV,Stay spread out so I can deal damage safely.,Gun; Crossbow
Physical_Ranged_04,Physical Ranged,Ranged damage,Hates melee mechanics; Relies on positioning,Maximize DPS; Avoid melee range,Why is the tank dragging mobs into my line of sight?,WoW; FFXIV,Don’t stand in front of me—I need a clear shot.,Crossbow; Bow
Physical_Ranged_05,Physical Ranged,Ranged damage,Hard to avoid aggro; Hates melee mechanics,Avoid melee range; Stay safe,Why is the tank dragging mobs into my line of sight?,FFXIV; Guild Wars 2,Don’t stand in front of me—I need a clear shot.,Crossbow; Bow
Physical_Ranged_06,Physical Ranged,Positioning-focused,Hates melee mechanics; Hard to avoid aggro,Stay safe; Avoid melee range,Why is the tank dragging mobs into my line of sight?,FFXIV; Guild Wars 2,"Tanks, don’t drag mobs into my line of sight!",Bow; Gun
Physical_Ranged_07,Physical Ranged,High mobility,Needs clear line of sight; Hates melee mechanics,Stay safe; Maximize DPS,Why is the tank dragging mobs into my line of sight?,WoW; Guild Wars 2,"Tanks, don’t drag mobs into my line of sight!",Crossbow; Gun
Physical_Ranged_08,Physical Ranged,Positioning-focused,Hard to avoid aggro; Hates melee mechanics,Maximize DPS; Avoid melee range,I can’t do damage if I’m stuck in melee.,FFXIV; WoW,"Tanks, don’t drag mobs into my line of sight!",Crossbow; Bow
Physical_Ranged_09,Physical Ranged,High mobility,Hard to avoid aggro; Relies on positioning,Stay safe; Avoid melee range,I need to stay at range.,Guild Wars 2; WoW,"Tanks, don’t drag mobs into my line of sight!",Crossbow; Gun
Physical_Ranged_10,Physical Ranged,Ranged damage,Relies on positioning; Hard to avoid aggro,Maximize DPS; Avoid melee range,I need to stay at range.,FFXIV; WoW,Stay spread out so I can deal damage safely.,Gun; Bow
Magical_Ranged_01,Magical Ranged,Mana-dependent,Relies on mana management; Hard to position,Control crowds; Stay safe,I can’t cast if I’m getting hit.,Guild Wars 2; FFXIV,I need time to regenerate mana.,Staff; Scepter
Magical_Ranged_02,Magical Ranged,High AoE damage,Hates interruptions; Hard to position,Burst down enemies; Stay safe,I need time to cast my spells.,FFXIV; Guild Wars 2,I need time to regenerate mana.,Staff; Scepter
Magical_Ranged_03,Magical Ranged,Mana-dependent,Hates interruptions; Needs safe casting zones,Control crowds; Stay safe,I’m out of mana again.,WoW; FFXIV,Don’t interrupt my casts.,Staff; Wand
Magical_Ranged_04,Magical Ranged,High AoE damage,Hates interruptions; Needs safe casting zones,Control crowds; Stay safe,Why is everyone standing in my AoE?,WoW; FFXIV,I need time to regenerate mana.,Staff; Scepter
Magical_Ranged_05,Magical Ranged,Mana-dependent,Relies on mana management; Needs safe casting zones,Burst down enemies; Control crowds,I need time to cast my spells.,WoW; FFXIV,I need time to regenerate mana.,Scepter; Staff
Magical_Ranged_06,Magical Ranged,Safe distance,Hard to position; Relies on mana management,Stay safe; Control crowds,I can’t cast if I’m getting hit.,FFXIV; WoW,Stay spread out so I can AoE safely!,Staff; Wand
Magical_Ranged_07,Magical Ranged,Mana-dependent,Hates interruptions; Relies on mana management,Control crowds; Burst down enemies,Why is everyone standing in my AoE?,WoW; Guild Wars 2,Stay spread out so I can AoE safely!,Staff; Wand
Magical_Ranged_08,Magical Ranged,Safe distance,Hates interruptions; Needs safe casting zones,Burst down enemies; Control crowds,I’m out of mana again.,Guild Wars 2; WoW,Don’t interrupt my casts.,Staff; Wand
Magical_Ranged_09,Magical Ranged,Safe distance,Relies on mana management; Hates interruptions,Control crowds; Burst down enemies,I’m out of mana again.,WoW; Guild Wars 2,I need time to regenerate mana.,Wand; Staff
Magical_Ranged_10,Magical Ranged,High AoE damage,Needs safe casting zones; Relies on mana management,Burst down enemies; Control crowds,Why is everyone standing in my AoE?,FFXIV; WoW,Don’t interrupt my casts.,Staff; Wand
